urmsplus_1450,urmsplus_2180,urmsplus_3820,urmsplus_6430,urmsplus_10770,urmsplus_15740,urmsplus_19670
1.8447076117,1.9498009442,0.3094528973,1.006768012,1.4373332505,0.250898925,0.8204083127
1.9837603732,2.1096872806,0.4253932144,1.1908161971,1.819900676,0.4233345379,1.1097419832
2.1484308541,2.2028458574,0.6994790861,1.4714339625,2.2417951077,0.8320899949,1.6678307453
2.3717520351,2.4084767604,1.1192638442,1.7576118124,2.6945275585,0.8297611075,2.1990817015
2.5145551641,2.5406842314,1.6473123467,2.1154692619,2.9414978541,1.6006138547,2.6800161163
2.6141895041,2.6819368787,2.1959813456,2.1233854664,3.0390269173,2.3513286769,2.9567076055
2.718486561,2.824595879,2.6388212252,2.4897213486,2.9940606969,2.8577962618,2.9688194166
2.7798795982,2.8188697035,2.9045082571,2.7216758148,2.8506577588,2.9835293628,2.894225863
2.7511299661,2.8154479098,2.95983213,2.8895940105,2.6942764355,2.8929817649,2.7794027845
2.6611988117,2.7195219897,2.8612774837,2.8831169107,2.6145977687,2.7584656654,2.6901658849
2.5356418103,2.6239177666,2.6981674161,2.8291150329,2.5176092104,2.6751328198,2.6524125332
2.4136095132,2.4721896757,2.5528130583,2.6925193831,2.5050631278,2.5905642482,2.6306738283
2.2750425656,2.3442803523,2.4383437642,2.5692461754,2.5587926021,2.5818771708,2.6486087852
2.1981612919,2.2636004437,2.3662562926,2.4700263943,2.5158457844,2.6006544928,2.6834647563
2.1310536391,2.19730577,2.2795061123,2.4317903847,2.5120953589,2.6225857617,2.6868733093
2.0690584339,2.1781529615,2.27669011,2.4030167017,2.5272195261,2.6016534643,2.6871713634
2.0549153769,2.1530584105,2.2310993596,2.4298372724,2.4744995386,2.612208472,2.6356421445
1.9992243011,2.1242471438,2.2141126683,2.4375263107,2.4321006535,2.5543468112,2.6378250294
1.9643645067,2.0727955313,2.1614043899,2.431224207,2.3381866486,2.5735994954,2.5847015946
1.9041665487,2.0419602895,2.1129874843,2.4064840115,2.1936898315,2.4946657917,2.5549313121
1.8577032983,1.9617577247,2.0100770792,2.3538212465,2.1036043692,2.3708068465,2.4185379343
1.7635933896,1.8922640585,1.9202043962,2.2838013689,2.0111619581,2.2923764259,2.2632224286
1.6534731766,1.7786947322,1.8152527128,2.1573311585,1.8862511463,2.2314657463,2.161730902
1.4911332873,1.6443246159,1.6759865691,2.0694773637,1.7540789724,2.075351259,2.038905505
1.3111406294,1.4414916231,1.5013470215,1.9610956925,1.4976624015,1.9412365239,1.9090644306
1.007725505,1.1275125255,1.229501545,1.8592768446,1.1127959574,1.7768051941,1.7502078481
0.5072635623,0.6076615109,0.7418942469,1.7507163761,0.3595557288,1.517964244,1.4927170778
0.2464214505,0.2865713045,0.1978531321,1.5131026454,0.1961711567,1.1557348083,1.0110473444
0.2279125696,0.2449988618,0.1164698463,1.0765857,,0.3813044485,0.3544950219
0.1952067746,0.2232492726,0.1593796081,0.3562744828,,0.163503823,0.1607024596
,,,0.1228380532,,,
