yplus_1450,yplus_2180,yplus_3820,yplus_6430,yplus_10770,yplus_15740,yplus_19670
5.1404337552,5.1656434065,0.1082875156,2.1550812532,3.1327541248,0.1009213996,1.109626797
5.6317311743,5.6963631194,0.6601508787,2.6963105129,4.2175018109,0.1534959356,2.1838013299
6.2729159416,6.3903812055,1.3933407755,3.4357364029,5.7257468813,0.1767989672,3.6789361527
7.0972963567,7.313017014,2.3866948293,4.4267195544,7.7912253521,1.7514745136,5.725674114
8.1798160936,8.5295898943,3.7111669009,5.7683582827,10.6442603622,3.9403852023,8.5707850389
9.5787646768,10.1299139515,5.4850134254,5.7683582827,14.5820430584,6.9333855317,12.4610387526
11.4023940798,12.2364629657,7.8737934117,7.5749967974,20.005781489,11.0766807638,17.846427289
13.7672833513,15.0125353099,11.0746009182,10.0067169924,27.480138833,16.7834836307,25.2640379147
16.8399739893,18.6704188694,15.3633676263,13.2998302344,37.7778120725,24.6456934513,35.4832118492
20.845297016,23.4958857971,21.1185141281,17.7440085218,51.9761191147,35.4785677779,49.5636077532
26.0413917534,29.8481925142,28.8446012126,23.7432680623,71.5461561369,50.4100656899,68.9713287053
32.794649497,38.2253990589,39.2038649158,31.8388381157,98.5236824951,70.9925269105,95.7240809229
41.5713864413,49.2643690865,53.0950541433,42.770144572,135.70229497,99.3701904815,132.6089118425
52.9794790538,63.8224190564,71.7322682941,57.5281705827,186.9529082497,138.4802171741,183.4434958175
67.8016723752,83.0018129876,96.7316786462,77.4393089815,257.5952438634,192.3877268386,253.5116102798
87.0705236931,108.2804011574,130.2613198407,104.3178212303,354.9624933605,266.6990111367,350.1002230067
112.1183649912,141.5932692882,175.2460677023,140.6030504716,489.1591557349,369.1199291257,483.2252857236
144.6605736991,185.4960369203,235.5805008226,189.5804869999,674.1383553327,510.2823327219,666.7059086372
186.9621141895,243.3689803788,316.5152049143,255.6943091027,929.1060700211,704.8608578688,919.6159476424
241.937462677,319.6293206586,425.0824959767,344.9361533731,1280.5346012085,973.0470888783,1268.2000994342
313.3837653162,420.1476342757,570.7034699955,465.4015898646,1764.9190217322,1342.7161332958,1748.6899806894
406.2473045973,552.6234395261,766.0394492747,628.0066791387,2432.5812225377,1852.2409356434,2410.9621278266
526.9316011181,727.2220601409,1028.0641741131,847.4942013117,3352.8410386352,2554.5462293579,3323.8072585663
683.7803839282,957.3339627217,1379.5301825985,1143.7676718348,4621.2825726405,3522.5584776895,4582.0140174992
887.6271774721,1260.6117014102,1850.9791700018,1543.6903570624,6369.6358004088,4856.8112215539,6316.254284963
1152.5613924799,1660.3171294674,2483.3751653958,2083.5169944464,8779.4696531275,6695.8870769499,8706.6555174242
1496.8859395811,2187.1095164598,3331.6522247039,2812.2021516732,12101.0487955856,9230.7685014644,12001.4536430827
1944.3912717641,2881.3970448333,4469.5156419601,3795.798667267,16679.3452813044,12724.7055091457,16542.8167982772
2525.9958181313,3796.4394790036,5995.8120292725,5123.5026478144,,17540.5658862,22802.3946981747
3281.8777150736,5002.4306246867,8043.1541528136,6915.6804314917,,24178.4822212547,31430.2516415049
,,,9334.8227633632,,,
